Name,Spect Name,Spect Type,Teff,log g,Fe/H,class
HD050420 ,s0237,A9III,7412,3.4,0.3,A
HD050778 ,s0236,K4III,4009,1.6,-0.27,K
HD051440 ,s0238,K2III,4405,2.28,-0.35,K
HD052005 ,s0239,K4Iab,4117,0.2,-0.2,K
HD052973 ,s0240,G0Ibvar,5659,1.37,0.34,G
HD053927 ,s0241,G5,4811,4.5,-0.74,G
HD054605 ,s0242,F8Ia,6268,0.97,0.1,F
HD054719 ,s0245,K2III,4368,1.77,0.08,K
HD054810 ,s0244,K0III,4697,2.35,-0.3,K
HD055496 ,s0246,GII:wp...,4800,2.8,-1.55,G
HD055575 ,s0248,G0V,5857,4.39,-0.28,G
HD055693 ,s0247,G1V,5845,0.26,0.02,G
HD056274 ,s0249,G5V,5707,4.59,-0.65,G
HD056577 ,s0250,K4III,4372,1.25,-0.2,K
HD057060 ,s0251,07Ia,35950,3.2,0,0
HD057061 ,s0252,09Ib,32300,3,0,0
HD057264 ,s0253,G8III,4620,2.72,-0.33,G
HD058207 ,s0254,K0III,4788,2.55,-0.12,K
HD058551 ,s0255,F6V,6165,4.18,-0.55,F
HD059374 ,s0257,F8V,5800,4.4,-0.9,F
HD059612 ,s0256,A5Ib,8330,1.45,0.08,A
HD059881 ,s0260,F0III,7636,3.09,0.2,F
HD059984 ,s0259,F5V,6000,4.31,-0.68,F
HD060179 ,s0262,A1V,10286,4,0.48,A
HD060219 ,s0261,F3IV,5900,1.83,-0.49,F
HD060522 ,s0264,M0III-IIIb,3884,1.2,0.12,M
HD061064 ,s0265,F6III,6495,3.2,0.4,F
HD061603 ,s0269,K5III,3870,1.5,0.24,K
HD061606 ,s0267,K2V,4833,4.7,-0.15,K
HD061772 ,s0268,K3III,3996,1.47,-0.11,K
HD061913 ,s0271,M3II-III,3530,0.7,0,M
HD061935 ,s0270,K0III,4779,2.5,-0.06,K
HD062301 ,s0274,F8V,5888,4.18,-0.71,F
HD062345 ,s0273,G8IIIa,5017,2.63,-0.08,G
HD062721 ,s0275,K5III,3961,1.52,-0.22,K
HD063302 ,s0276,K3Iab,4500,0.2,0.12,K
HD063352 ,s0277,K0III,4226,2.2,-0.31,K
HD063791 ,s0281,G0,4629,1.76,-1.63,G
HD064090 ,s0280,sdG2,5446,4.45,-1.76,s
HD064332 ,s0279,S?,3500,0.5,-0.34,S
HD064488 ,s0283,A2,8616,3.35,-0.75,A
HD064606 ,s0282,G8V,5210,4.24,-0.97,G
HD065228 ,s0284,F7/F8II,6115,1.7,0.52,F
HD065583 ,s0285,G8V,5268,4.44,-0.56,G
HD065714 ,s0286,G8III,4840,1.5,0.27,G
HD065900 ,s0288,A1V,9692,4,0.24,A
